			-train scores-			
train step 1000: accuracy=0.6976	 accuracy_squad=0.7202	f1=0.8078	f1_squad=0.8180		loss=2.9693
train step 1000: accuracy=0.0000	 accuracy_squad=0.0000	f1=0.0791	f1_squad=0.0965		loss=8.2017
train step 2000: accuracy=0.8143	 accuracy_squad=0.8321	f1=0.9035	f1_squad=0.9134		loss=2.1983
train step 2000: accuracy=0.0000	 accuracy_squad=0.0000	f1=0.0397	f1_squad=0.0481		loss=8.4349
train step 3000: accuracy=0.8548	 accuracy_squad=0.8631	f1=0.9025	f1_squad=0.9076		loss=1.6827
train step 3000: accuracy=0.0000	 accuracy_squad=0.0000	f1=0.0348	f1_squad=0.0427		loss=8.4138
train step 4000: accuracy=0.8917	 accuracy_squad=0.8988	f1=0.9262	f1_squad=0.9323		loss=1.4086
train step 4000: accuracy=0.0000	 accuracy_squad=0.0024	f1=0.0096	f1_squad=0.0121		loss=9.1349
train step 5000: accuracy=0.8988	 accuracy_squad=0.9048	f1=0.9206	f1_squad=0.9264		loss=1.1699
train step 5000: accuracy=0.0036	 accuracy_squad=0.0119	f1=0.0371	f1_squad=0.0458		loss=9.3159
train step 6000: accuracy=0.8762	 accuracy_squad=0.8786	f1=0.8944	f1_squad=0.8997		loss=1.1898
train step 6000: accuracy=0.0048	 accuracy_squad=0.0060	f1=0.0268	f1_squad=0.0329		loss=9.4809
train step 7000: accuracy=0.8798	 accuracy_squad=0.8798	f1=0.8967	f1_squad=0.9010		loss=1.1027
train step 7000: accuracy=0.0583	 accuracy_squad=0.0690	f1=0.1150	f1_squad=0.1230		loss=9.7262
train step 8000: accuracy=0.8702	 accuracy_squad=0.8726	f1=0.8915	f1_squad=0.8966		loss=1.0935
train step 8000: accuracy=0.0250	 accuracy_squad=0.0333	f1=0.0716	f1_squad=0.0829		loss=10.5240
train step 9000: accuracy=0.8810	 accuracy_squad=0.8833	f1=0.9014	f1_squad=0.9065		loss=1.0510
train step 9000: accuracy=0.0000	 accuracy_squad=0.0071	f1=0.0158	f1_squad=0.0224		loss=10.3950
train step 10000: accuracy=0.8952	 accuracy_squad=0.8952	f1=0.9089	f1_squad=0.9127		loss=1.0294
train step 10000: accuracy=0.0202	 accuracy_squad=0.0238	f1=0.0727	f1_squad=0.0839		loss=11.0938
train step 11000: accuracy=0.8274	 accuracy_squad=0.8369	f1=0.8636	f1_squad=0.8714		loss=1.3620
train step 11000: accuracy=0.8345	 accuracy_squad=0.8488	f1=0.8872	f1_squad=0.8955		loss=1.7162
train step 12000: accuracy=0.8369	 accuracy_squad=0.8405	f1=0.8665	f1_squad=0.8715		loss=1.3703
train step 12000: accuracy=0.8381	 accuracy_squad=0.8452	f1=0.8725	f1_squad=0.8791		loss=1.3656
train step 13000: accuracy=0.8238	 accuracy_squad=0.8274	f1=0.8581	f1_squad=0.8637		loss=1.3499
train step 13000: accuracy=0.8810	 accuracy_squad=0.8821	f1=0.8977	f1_squad=0.9017		loss=1.1688
train step 14000: accuracy=0.8095	 accuracy_squad=0.8167	f1=0.8511	f1_squad=0.8587		loss=1.4795
train step 14000: accuracy=0.8476	 accuracy_squad=0.8488	f1=0.8705	f1_squad=0.8758		loss=1.1600
train step 15000: accuracy=0.7738	 accuracy_squad=0.7786	f1=0.8213	f1_squad=0.8283		loss=1.5424
train step 15000: accuracy=0.8619	 accuracy_squad=0.8631	f1=0.8836	f1_squad=0.8886		loss=1.1402
train step 16000: accuracy=0.7845	 accuracy_squad=0.7881	f1=0.8265	f1_squad=0.8342		loss=1.5129
train step 16000: accuracy=0.8857	 accuracy_squad=0.8857	f1=0.8994	f1_squad=0.9023		loss=1.0423
train step 17000: accuracy=0.7905	 accuracy_squad=0.7976	f1=0.8408	f1_squad=0.8481		loss=1.5700
train step 17000: accuracy=0.8571	 accuracy_squad=0.8571	f1=0.8737	f1_squad=0.8781		loss=1.0407
train step 18000: accuracy=0.8000	 accuracy_squad=0.8060	f1=0.8447	f1_squad=0.8515		loss=1.6209
train step 18000: accuracy=0.8798	 accuracy_squad=0.8798	f1=0.8941	f1_squad=0.8978		loss=1.0163
train step 19000: accuracy=0.8048	 accuracy_squad=0.8119	f1=0.8475	f1_squad=0.8545		loss=1.6458
train step 19000: accuracy=0.8929	 accuracy_squad=0.8952	f1=0.9084	f1_squad=0.9128		loss=1.0253
train step 20000: accuracy=0.7786	 accuracy_squad=0.7905	f1=0.8279	f1_squad=0.8380		loss=1.6418
train step 20000: accuracy=0.8798	 accuracy_squad=0.8798	f1=0.8972	f1_squad=0.9019		loss=0.9946
