			-train scores-			
train step 150: accuracy=0.2988	 accuracy_squad=0.3095	f1=0.3771	f1_squad=0.3956		loss=5.1614
train step 150: accuracy=0.0000	 accuracy_squad=0.0000	f1=0.0692	f1_squad=0.0834		loss=8.1105
train step 300: accuracy=0.3726	 accuracy_squad=0.3893	f1=0.4631	f1_squad=0.4818		loss=4.7364
train step 300: accuracy=0.0000	 accuracy_squad=0.0000	f1=0.0280	f1_squad=0.0334		loss=8.1717
train step 450: accuracy=0.4310	 accuracy_squad=0.4500	f1=0.5289	f1_squad=0.5494		loss=4.3415
train step 450: accuracy=0.0000	 accuracy_squad=0.0155	f1=0.0151	f1_squad=0.0226		loss=8.2824
train step 600: accuracy=0.6060	 accuracy_squad=0.6226	f1=0.7070	f1_squad=0.7211		loss=3.5707
train step 600: accuracy=0.0000	 accuracy_squad=0.0155	f1=0.0578	f1_squad=0.0761		loss=8.1929
train step 750: accuracy=0.6810	 accuracy_squad=0.7012	f1=0.7977	f1_squad=0.8097		loss=3.2589
train step 750: accuracy=0.0000	 accuracy_squad=0.0012	f1=0.0718	f1_squad=0.0890		loss=8.2049
train step 900: accuracy=0.7429	 accuracy_squad=0.7631	f1=0.8374	f1_squad=0.8502		loss=3.0618
train step 900: accuracy=0.0000	 accuracy_squad=0.0000	f1=0.0462	f1_squad=0.0564		loss=8.2378
train step 1050: accuracy=0.7321	 accuracy_squad=0.7560	f1=0.8321	f1_squad=0.8448		loss=2.9019
train step 1050: accuracy=0.0000	 accuracy_squad=0.0000	f1=0.0326	f1_squad=0.0399		loss=8.3668
train step 1200: accuracy=0.7667	 accuracy_squad=0.7845	f1=0.8601	f1_squad=0.8714		loss=2.6182
train step 1200: accuracy=0.0000	 accuracy_squad=0.0000	f1=0.0147	f1_squad=0.0181		loss=8.3254
train step 1350: accuracy=0.7988	 accuracy_squad=0.8155	f1=0.8823	f1_squad=0.8912		loss=2.6404
train step 1350: accuracy=0.0000	 accuracy_squad=0.0000	f1=0.0049	f1_squad=0.0061		loss=8.3857
train step 1500: accuracy=0.7964	 accuracy_squad=0.8143	f1=0.8837	f1_squad=0.8928		loss=2.3769
train step 1500: accuracy=0.0000	 accuracy_squad=0.0012	f1=0.0074	f1_squad=0.0094		loss=8.6109
train step 1650: accuracy=0.8190	 accuracy_squad=0.8357	f1=0.8927	f1_squad=0.9008		loss=2.2108
train step 1650: accuracy=0.0000	 accuracy_squad=0.0000	f1=0.0276	f1_squad=0.0337		loss=8.3289
train step 1800: accuracy=0.8381	 accuracy_squad=0.8560	f1=0.9167	f1_squad=0.9249		loss=2.0865
train step 1800: accuracy=0.0000	 accuracy_squad=0.0000	f1=0.0161	f1_squad=0.0197		loss=8.4857
train step 1950: accuracy=0.8631	 accuracy_squad=0.8810	f1=0.9293	f1_squad=0.9368		loss=1.9816
train step 1950: accuracy=0.0000	 accuracy_squad=0.0024	f1=0.0042	f1_squad=0.0056		loss=8.7514
train step 2100: accuracy=0.8714	 accuracy_squad=0.8917	f1=0.9289	f1_squad=0.9354		loss=1.8413
train step 2100: accuracy=0.0000	 accuracy_squad=0.0024	f1=0.0112	f1_squad=0.0140		loss=8.5822
train step 2250: accuracy=0.8321	 accuracy_squad=0.8464	f1=0.8915	f1_squad=0.8996		loss=1.7206
train step 2250: accuracy=0.0000	 accuracy_squad=0.0012	f1=0.0590	f1_squad=0.0711		loss=8.6475
train step 2400: accuracy=0.8500	 accuracy_squad=0.8631	f1=0.9050	f1_squad=0.9115		loss=1.7755
train step 2400: accuracy=0.0000	 accuracy_squad=0.0012	f1=0.0227	f1_squad=0.0273		loss=8.7154
train step 2550: accuracy=0.8690	 accuracy_squad=0.8821	f1=0.9189	f1_squad=0.9247		loss=1.6458
train step 2550: accuracy=0.0000	 accuracy_squad=0.0012	f1=0.0338	f1_squad=0.0412		loss=8.6372
train step 2700: accuracy=0.8869	 accuracy_squad=0.9024	f1=0.9302	f1_squad=0.9370		loss=1.5917
train step 2700: accuracy=0.0000	 accuracy_squad=0.0000	f1=0.0194	f1_squad=0.0237		loss=8.7989
train step 2850: accuracy=0.8845	 accuracy_squad=0.8976	f1=0.9234	f1_squad=0.9295		loss=1.4926
train step 2850: accuracy=0.0000	 accuracy_squad=0.0012	f1=0.0032	f1_squad=0.0045		loss=9.1071
train step 3000: accuracy=0.9000	 accuracy_squad=0.9143	f1=0.9409	f1_squad=0.9473		loss=1.4159
train step 3000: accuracy=0.0000	 accuracy_squad=0.0048	f1=0.0283	f1_squad=0.0355		loss=8.8894
train step 3150: accuracy=0.8869	 accuracy_squad=0.8976	f1=0.9231	f1_squad=0.9282		loss=1.5057
train step 3150: accuracy=0.0000	 accuracy_squad=0.0048	f1=0.0263	f1_squad=0.0338		loss=9.2738
train step 3300: accuracy=0.8714	 accuracy_squad=0.8798	f1=0.9065	f1_squad=0.9126		loss=1.4316
train step 3300: accuracy=0.0000	 accuracy_squad=0.0060	f1=0.0208	f1_squad=0.0268		loss=9.3337
train step 3450: accuracy=0.8893	 accuracy_squad=0.8988	f1=0.9214	f1_squad=0.9275		loss=1.2594
train step 3450: accuracy=0.0000	 accuracy_squad=0.0048	f1=0.0297	f1_squad=0.0380		loss=9.0934
