			-train scores-			
train step 1000: accuracy=0.7405	 accuracy_squad=0.7571	f1=0.8362	f1_squad=0.8462		loss=3.0640
train step 1000: accuracy=0.0000	 accuracy_squad=0.0000	f1=0.0662	f1_squad=0.0806		loss=8.2066
train step 2000: accuracy=0.8369	 accuracy_squad=0.8536	f1=0.9095	f1_squad=0.9157		loss=2.0700
train step 2000: accuracy=0.0000	 accuracy_squad=0.0012	f1=0.0875	f1_squad=0.1098		loss=8.1711
train step 3000: accuracy=0.8619	 accuracy_squad=0.8750	f1=0.9127	f1_squad=0.9205		loss=1.6169
train step 3000: accuracy=0.0071	 accuracy_squad=0.0071	f1=0.0279	f1_squad=0.0291		loss=8.2671
train step 4000: accuracy=0.8631	 accuracy_squad=0.8667	f1=0.8989	f1_squad=0.9038		loss=1.3704
train step 4000: accuracy=0.0143	 accuracy_squad=0.0143	f1=0.0223	f1_squad=0.0216		loss=8.5282
train step 5000: accuracy=0.8667	 accuracy_squad=0.8690	f1=0.8889	f1_squad=0.8935		loss=1.1987
train step 5000: accuracy=0.0107	 accuracy_squad=0.0107	f1=0.0315	f1_squad=0.0302		loss=8.5526
train step 6000: accuracy=0.8929	 accuracy_squad=0.8976	f1=0.9172	f1_squad=0.9215		loss=1.1534
train step 6000: accuracy=0.0036	 accuracy_squad=0.0036	f1=0.0097	f1_squad=0.0079		loss=8.5962
train step 7000: accuracy=0.9036	 accuracy_squad=0.9036	f1=0.9174	f1_squad=0.9200		loss=1.1403
train step 7000: accuracy=0.0464	 accuracy_squad=0.0464	f1=0.0752	f1_squad=0.0725		loss=8.4852
train step 8000: accuracy=0.9071	 accuracy_squad=0.9083	f1=0.9189	f1_squad=0.9227		loss=1.0374
train step 8000: accuracy=0.0714	 accuracy_squad=0.0726	f1=0.1034	f1_squad=0.1027		loss=8.7441
train step 9000: accuracy=0.8702	 accuracy_squad=0.8702	f1=0.8895	f1_squad=0.8948		loss=1.0718
train step 9000: accuracy=0.0321	 accuracy_squad=0.0321	f1=0.0459	f1_squad=0.0422		loss=9.0728
train step 10000: accuracy=0.8929	 accuracy_squad=0.8929	f1=0.9086	f1_squad=0.9122		loss=1.0610
train step 10000: accuracy=0.0762	 accuracy_squad=0.0762	f1=0.1067	f1_squad=0.1061		loss=9.3334
train step 11000: accuracy=0.8929	 accuracy_squad=0.8964	f1=0.9167	f1_squad=0.9200		loss=1.2308
train step 11000: accuracy=0.8750	 accuracy_squad=0.8893	f1=0.9260	f1_squad=0.9328		loss=1.5861
train step 12000: accuracy=0.8893	 accuracy_squad=0.8929	f1=0.9156	f1_squad=0.9183		loss=1.2181
train step 12000: accuracy=0.8917	 accuracy_squad=0.8988	f1=0.9167	f1_squad=0.9215		loss=1.3154
train step 13000: accuracy=0.8798	 accuracy_squad=0.8833	f1=0.9086	f1_squad=0.9120		loss=1.2223
train step 13000: accuracy=0.8607	 accuracy_squad=0.8631	f1=0.8819	f1_squad=0.8865		loss=1.1389
train step 14000: accuracy=0.8702	 accuracy_squad=0.8726	f1=0.8982	f1_squad=0.9016		loss=1.2671
train step 14000: accuracy=0.8857	 accuracy_squad=0.8893	f1=0.9046	f1_squad=0.9097		loss=1.1254
train step 15000: accuracy=0.8536	 accuracy_squad=0.8571	f1=0.8824	f1_squad=0.8868		loss=1.3036
train step 15000: accuracy=0.8976	 accuracy_squad=0.8988	f1=0.9128	f1_squad=0.9169		loss=1.0432
train step 16000: accuracy=0.8357	 accuracy_squad=0.8381	f1=0.8707	f1_squad=0.8753		loss=1.3900
train step 16000: accuracy=0.8988	 accuracy_squad=0.8988	f1=0.9120	f1_squad=0.9155		loss=1.0646
train step 17000: accuracy=0.8548	 accuracy_squad=0.8583	f1=0.8847	f1_squad=0.8888		loss=1.3289
train step 17000: accuracy=0.8952	 accuracy_squad=0.8964	f1=0.9104	f1_squad=0.9149		loss=1.0170
